City Name,Country,Latitude,Longitude,Max Temperature [C],Humidity,Cloudiness,Wind Speed
Pacific Grove,US,36.62,-121.92,12.370000000000005,54,1,4.697574
Tazovsky,RU,67.47,78.7,-12.689999999999998,96,100,9.9767524
Airai,TL,-8.93,125.41,28.30000000000001,37,18,7.449010200000001
Zabul Province,AF,32.25,67.25,3.3100000000000023,75,0,1.7895520000000003
Tsuyama,JP,35.05,134.0,21.25999999999999,64,40,8.052984
Bathsheba,BB,13.22,-59.52,27.149999999999977,88,75,9.171454
Muisne,EC,0.6,-80.03,22.399999999999977,83,92,10.0885994
Cape Town,ZA,-33.93,18.42,15.149999999999977,67,0,13.869028000000002
Seoul,KR,37.57,126.98,16.149999999999977,58,1,4.697574
Nikolskoye,RU,59.7,30.79,1.1499999999999773,80,90,8.94776
Ushuaia,AR,-54.8,-68.3,8.149999999999977,45,20,31.093466000000003
Acapulco de Juárez,MX,16.86,-99.89,28.149999999999977,78,40,2.23694
Ilulissat,GL,69.22,-51.1,-10.850000000000023,33,57,26.395892000000003
Kloulklubed,PW,7.04,134.26,27.149999999999977,88,75,9.171454
Castro,BR,-24.79,-50.01,16.860000000000014,96,94,2.9751302
Naze,JP,28.37,129.48,26.149999999999977,61,20,11.408394
Atuona,PF,-9.8,-139.03,25.75,74,40,14.226938400000002
Kununurra,AU,-15.77,128.73,38.14999999999998,37,40,8.052984
Muyezerskiy,RU,63.93,31.65,-0.05000000000001137,94,97,12.4373864
Guaratuba,BR,-25.88,-48.57,21.25999999999999,75,93,11.0057448
Qixingtai,CN,30.41,111.89,18.480000000000018,71,17,4.585727
Bariloche,AR,-41.15,-71.31,10.149999999999977,71,0,17.224438000000003
Ubon Ratchathani,TH,15.17,105.17,25.149999999999977,78,0,4.697574
Esperance,AU,-33.87,121.9,23.149999999999977,43,0,11.408394
Port Elizabeth,ZA,-33.92,25.57,17.149999999999977,88,90,8.052984
Dingle,PH,11.0,122.67,30.45999999999998,72,24,11.475502200000001
Kapaa,US,22.08,-159.32,23.149999999999977,94,90,8.052984
Cidreira,BR,-30.18,-50.21,21.720000000000027,94,100,3.1093466
Ancud,CL,-41.87,-73.82,11.819999999999993,87,90,1.11847
Atotonilco el Grande,MX,20.28,-98.67,12.149999999999977,88,57,4.697574
Torbay,CA,47.67,-52.73,0.14999999999997726,88,90,8.052984
Praia da Vitória,PT,38.73,-27.07,17.930000000000007,87,20,10.961006000000001
Saldanha,ZA,-33.01,17.94,13.149999999999977,82,100,8.052984
Mahébourg,MU,-20.41,57.7,23.149999999999977,56,40,10.289924
Boa Vista,BR,2.82,-60.67,28.149999999999977,69,0,3.35541
San Quintín,MX,30.48,-115.95,18.589999999999975,46,0,2.9974996000000003
Churapcha,RU,62.0,132.43,-18.039999999999992,90,100,9.3280398
Voh,NC,-20.97,164.7,27.930000000000007,67,5,10.4241404
Dikson,RU,73.51,80.55,-3.4499999999999886,99,100,18.3205386
Madaba Governorate,JO,31.58,35.67,12.370000000000005,93,40,5.4581336
San Juan,AR,-31.54,-68.54,20.569999999999993,38,23,2.1698318
Inuvik,CA,68.35,-133.72,-9.850000000000023,78,100,14.987498000000002
Okha,RU,53.57,142.95,-3.920000000000016,94,100,20.1995682
Bocaiúva,BR,-17.11,-43.81,23.149999999999977,94,0,3.35541
Luau,AO,-10.71,22.22,17.339999999999975,99,42,3.0869771999999998
Khatanga,RU,71.97,102.5,-19.150000000000006,92,96,12.057106600000001
Aswān,EG,24.09,32.91,15.360000000000014,58,0,10.446509800000001
Sisimiut,GL,66.94,-53.67,-6.639999999999986,92,59,13.779550400000002
Bambous Virieux,MU,-20.34,57.76,24.589999999999975,56,40,10.289924
Saskylakh,RU,71.92,114.08,-16.149999999999977,93,98,7.918767600000001
Eyl,SO,7.98,49.82,25.069999999999993,61,64,15.345408400000002
Kaitangata,NZ,-46.28,169.85,17.060000000000002,57,50,10.312293400000001
Zaria,NG,11.11,7.72,20.04000000000002,35,56,9.864905400000001
Etchojoa,MX,26.92,-109.63,22.370000000000005,54,0,6.8674058
Geraldton,AU,-28.77,114.6,26.149999999999977,26,0,6.934514000000001
Caravelas,BR,-17.71,-39.25,23.899999999999977,93,100,8.6569578
Chelno-Vershiny,RU,54.43,51.1,-12.060000000000002,91,0,2.4382646000000006
Port Hedland,AU,-20.32,118.57,36.14999999999998,25,0,14.987498000000002
Chapais,CA,49.78,-74.85,0.14999999999997726,97,90,18.342908
Atocha,BO,-20.93,-66.23,9.060000000000002,41,0,2.6395892
Altagracia de Orituco,VE,9.86,-66.38,22.769999999999982,94,65,4.966006800000001
Ambilobe,MG,-13.2,49.05,25.139999999999986,73,57,5.7489358
Dumfries,US,38.57,-77.33,16.149999999999977,14,1,13.869028000000002
Sioux Lookout,CA,50.1,-91.92,-5.850000000000023,79,90,20.803542000000004
Nyúl,HU,47.59,17.69,8.149999999999977,100,75,14.987498000000002
Kavaratti,IN,10.57,72.64,29.149999999999977,83,20,4.697574
Chapleau,CA,47.84,-83.4,-0.2799999999999727,98,100,17.6941954
Faanui,PF,-16.48,-151.75,27.079999999999984,76,100,7.672704200000001
Ostrovnoy,RU,68.05,39.51,1.4800000000000182,89,100,27.402515
Sola,VU,-13.88,167.55,31.149999999999977,70,75,9.171454
Bluff,NZ,-46.6,168.33,15.149999999999977,77,11,21.004866600000003
Ribeira Grande,PT,38.52,-28.7,18.80000000000001,89,13,16.530986600000002
Qaanaaq,GL,77.48,-69.36,-16.279999999999973,82,100,12.370278200000001
New Norfolk,AU,-42.78,147.06,18.480000000000018,44,57,14.0032444
Husavik,IS,66.04,-17.34,1.1499999999999773,69,90,4.697574
Chingirlau,KZ,51.09,54.08,-11.649999999999977,94,0,3.0422384000000005
East London,ZA,-33.02,27.91,18.149999999999977,93,90,2.23694
Norman Wells,CA,65.28,-126.83,-16.850000000000023,84,75,2.23694
Tuktoyaktuk,CA,69.45,-133.04,-12.850000000000023,84,90,19.461378
Kumbo,CM,6.2,10.67,15.569999999999993,56,14,3.0198690000000004
Griffith,US,41.53,-87.42,2.930000000000007,69,40,23.040482000000004
Bougouni,ML,11.42,-7.48,21.220000000000027,33,0,4.47388
Lompoc,US,34.64,-120.46,21.149999999999977,71,1,6.084476800000001
Carnarvon,AU,-24.87,113.63,26.149999999999977,54,0,19.461378
Dakoro,NE,14.51,6.76,21.899999999999977,26,0,11.1623306
Luanshya,ZM,-13.14,28.42,18.069999999999993,92,100,1.5434885999999999
Hegang,CN,47.4,130.37,0.6299999999999955,79,27,7.806920600000001
Dongargaon,IN,20.97,80.85,26.50999999999999,56,0,6.7331894
Saint-François,FR,46.42,3.91,9.149999999999977,87,0,4.697574
Ossora,RU,59.24,163.07,-1.3999999999999773,90,100,5.704197
Rørvik,NO,64.86,11.24,11.360000000000014,72,97,31.809286800000002
Cherskiy,RU,68.75,161.3,-16.75999999999999,93,100,7.068730400000001
Talnakh,RU,69.49,88.4,-12.850000000000023,84,75,8.94776
Fortuna,US,40.6,-124.16,16.819999999999993,87,90,10.289924
Ankola,IN,14.67,74.3,30.339999999999975,62,29,8.052984
Buribay,RU,51.96,58.16,-10.95999999999998,87,0,3.5343652000000003
Perafita,PT,41.18,-8.25,13.480000000000018,9,100,0.5144962000000001
Arraial do Cabo,BR,-22.97,-42.03,23.180000000000007,94,29,11.520241000000002
Troitsko-Pechorsk,RU,62.71,56.2,-6.970000000000027,97,96,3.5119958000000002
Hambantota,LK,6.12,81.12,25.149999999999977,100,90,4.697574
Kontagora,NG,10.4,5.47,22.45999999999998,33,90,5.2568090000000005
Katangli,RU,51.71,143.23,-2.8899999999999864,84,14,15.255930800000002
Curuguaty,PY,-24.47,-55.69,21.279999999999973,98,30,2.460634
Kailua,US,21.4,-157.74,28.149999999999977,54,75,9.171454
Antofagasta,CL,-23.65,-70.4,16.149999999999977,77,75,14.987498000000002
Lewiston,US,44.1,-70.21,9.589999999999975,93,90,14.987498000000002
Sitka,US,57.05,-135.33,-0.8500000000000227,86,40,5.816044000000001
Nara,JP,34.69,135.8,22.930000000000007,60,75,3.35541
Pericos,MX,25.05,-107.7,23.149999999999977,60,40,2.1474624
Saint Paul Harbor,US,57.79,-152.41,2.1499999999999773,55,1,12.750558000000002
Hasaki,JP,35.73,140.83,22.370000000000005,56,20,3.35541
Senanga,ZM,-16.12,23.27,19.720000000000027,81,1,2.4830034000000003
Banagher,IE,53.19,-7.99,8.480000000000018,84,78,7.0016222
Muroto-misakicho,JP,33.28,134.15,23.149999999999977,64,75,4.697574
Chardara,KZ,41.25,67.97,1.420000000000016,88,0,14.987498000000002
Archidona,ES,37.1,-4.39,16.819999999999993,87,90,1.9908766000000002
Baykit,RU,61.67,96.37,-13.819999999999993,91,100,3.9593838000000003
Port Blair,IN,11.67,92.75,28.939999999999998,66,34,12.8847744
Hammonton,US,39.64,-74.8,12.370000000000005,98,98,13.913766800000001
Quatre Cocos,MU,-20.21,57.76,24.589999999999975,56,40,10.289924
Barsovo,RU,61.17,73.17,-23.849999999999994,83,40,2.23694
Gazli,UZ,40.13,63.45,1.4300000000000068,79,0,12.280800600000001
Maragogi,BR,-9.01,-35.22,24.720000000000027,86,26,9.171454
Jalu,LY,29.03,21.55,13.579999999999984,82,13,4.787051600000001
Tocopilla,CL,-22.09,-70.2,15.819999999999993,63,8,6.7779282
Grand-Lahou,CI,5.14,-5.02,25.610000000000014,87,0,5.860782800000001
Valdivia,CL,-39.81,-73.25,11.149999999999977,76,0,5.816044000000001
Kőszeg,HU,47.39,16.54,6.259999999999991,94,73,4.5186188000000005
Jiexiu,CN,37.02,111.91,13.420000000000016,48,0,4.2949248
Flinders,AU,-34.58,150.86,34.04000000000002,36,100,8.9924988
Bud,US,39.45,-86.18,7.3700000000000045,56,40,13.869028000000002
Katsuura,JP,35.13,140.3,21.25999999999999,63,20,4.697574
Camacupa,AO,-12.02,17.48,16.970000000000027,98,100,1.7000744
São Filipe,CV,14.9,-24.5,26.470000000000027,61,72,6.5094954000000005
Vao,NC,-22.67,167.48,24.220000000000027,79,2,13.779550400000002
Hobyo,SO,5.35,48.53,26.629999999999995,76,62,14.696695800000002
Rovaniemi,FI,66.5,25.72,2.1499999999999773,93,90,17.224438000000003
Hualmay,PE,-11.1,-77.61,17.29000000000002,86,99,8.746435400000001
Porto Murtinho,BR,-21.7,-57.88,24.95999999999998,90,54,2.2593094000000002
Amapá,BR,1.0,-52.0,22.829999999999984,98,99,2.1698318
Bengkulu,ID,-3.8,102.27,31.269999999999982,60,68,6.5094954000000005
Ballina,AU,-28.87,153.57,33.48000000000002,74,0,19.461378
Birin,NP,26.89,88.07,18.829999999999984,48,13,3.5119958000000002
Honningsvåg,NO,70.98,25.97,6.740000000000009,85,100,15.434886000000002
Olafsvik,IS,64.89,-23.71,2.8899999999999864,79,100,16.8217888
Ginda,IN,30.69,78.49,14.149999999999977,93,90,10.289924
Lorengau,PG,-2.02,147.27,29.50999999999999,74,100,11.1623306
Naryan-Mar,RU,67.67,53.09,-0.06999999999999318,97,100,16.978374600000002
Bojonegoro,ID,-7.15,111.88,33.77999999999997,48,24,6.934514000000001
Santa Maria,BR,-29.68,-53.81,23.149999999999977,88,40,9.171454
Puerto Escondido,MX,15.85,-97.07,26.149999999999977,74,40,3.35541
Guerrero Negro,MX,27.98,-114.06,18.680000000000007,65,0,4.115969600000001
Tura,IN,25.52,90.22,26.399999999999977,59,0,0.4250186
Caiapônia,BR,-16.96,-51.81,20.980000000000018,85,95,1.2750558
Abu Kamal,SY,34.45,40.92,15.230000000000018,67,24,3.0646078000000005
Yangmei,CN,24.1,112.56,26.24000000000001,63,51,2.4830034000000003
Imphal,IN,24.82,93.95,24.350000000000023,55,43,0.9618842000000001
Namatanai,PG,-3.67,152.43,28.639999999999986,73,98,5.927891
Bucak,TR,37.46,30.59,15.70999999999998,72,0,3.4448876000000004
Sur,OM,22.57,59.53,25.75,48,0,4.966006800000001
Kahului,US,20.89,-156.47,27.149999999999977,65,1,12.750558000000002
Berbera,SO,10.44,45.01,25.149999999999977,63,6,8.097722800000001
Bartica,GY,6.4,-58.62,25.149999999999977,94,20,2.23694
Lichinga,MZ,-13.31,35.24,18.149999999999977,68,20,8.052984
Markova,UA,48.68,24.41,4.670000000000016,80,77,2.8409138
Iznoski,RU,54.99,35.31,-1.579999999999984,98,94,6.106846200000001
Klaksvík,FO,62.23,-6.59,6.149999999999977,93,100,14.987498000000002
Provideniya,RU,64.38,-173.3,2.1499999999999773,93,90,22.369400000000002
Virginia Beach,US,36.85,-75.98,22.149999999999977,73,75,19.461378
Vardø,NO,70.37,31.11,6.899999999999977,89,89,25.389269000000002
Fomboni,KM,-12.28,43.74,26.420000000000016,71,0,7.0910998
Kamenka,RU,51.32,42.77,-6.519999999999982,77,100,14.942759200000001
Chiapilla,MX,16.52,-92.73,24.149999999999977,73,75,20.803542000000004
Nome,US,64.5,-165.41,-5.850000000000023,79,90,6.934514000000001
Xingyi,CN,24.19,102.82,19.69999999999999,60,0,4.026492
Santa Fe,AR,-31.63,-60.7,20.149999999999977,63,79,1.006623
Santa Cruz,MA,30.42,-9.6,17.149999999999977,48,0,6.934514000000001
Arlit,NE,18.74,7.39,19.430000000000007,27,0,7.2924244
Murgūd,IN,16.4,74.2,25.80000000000001,67,90,15.636210600000002
Jamame,SO,0.07,42.75,26.970000000000027,78,48,9.193823400000001
Poso,ID,-1.4,120.75,30.220000000000027,70,16,5.2791784
Altay,CN,47.87,88.12,-1.0,86,21,3.2883018
Kruisfontein,ZA,-34.0,24.73,16.25999999999999,90,94,1.006623
Hamilton,US,39.18,-84.53,8.480000000000018,49,40,16.105968
Anadyr,RU,64.75,177.48,2.1499999999999773,80,0,29.08022
Le Port,RE,-20.94,55.29,24.149999999999977,44,0,14.987498000000002
La Rioja,ES,42.25,-2.5,12.149999999999977,93,90,2.23694
Rawa Mazowiecka,PL,51.76,20.25,5.7099999999999795,99,32,8.388525000000001
Nambour,AU,-26.63,152.95,29.04000000000002,68,0,2.9974996000000003
La Paz,BO,-16.5,-68.15,8.149999999999977,61,20,2.23694
West Wendover,US,40.74,-114.07,4.149999999999977,44,1,3.35541
Cabedelo,BR,-6.98,-34.83,24.149999999999977,100,75,3.35541
Riberalta,BO,-10.98,-66.1,24.779999999999973,83,97,2.5277422
Cap Malheureux,MU,-19.98,57.61,24.589999999999975,47,0,8.008245200000001
Deputatsky,RU,69.3,139.9,-24.629999999999995,90,73,4.2278166
Dekar,BW,-21.53,21.93,20.80000000000001,74,99,2.4158952000000005
Bilecik Province,TR,40.0,30.17,3.1499999999999773,100,25,1.8790296
Cockburn Town,TC,21.46,-71.14,26.769999999999982,74,27,19.9535048
Sri Aman,MY,1.24,111.46,30.149999999999977,74,20,2.23694
Lambaréné,GA,-0.7,10.24,24.00999999999999,95,100,2.4830034000000003
Hithadhoo,MV,-0.6,73.08,28.689999999999998,78,99,22.682571600000003
Chifeng,CN,42.27,118.96,9.850000000000023,44,0,9.2609316
Westport,US,41.14,-73.36,12.930000000000007,66,100,15.524363600000003
Juneau,US,58.3,-134.42,-2.8500000000000227,92,75,6.330540200000001
Isla Mujeres,MX,21.23,-86.73,27.149999999999977,83,40,8.052984
Onguday,RU,50.75,86.15,-4.189999999999998,90,96,0.9171454
Alihe,CN,50.57,123.72,-2.480000000000018,78,68,3.2659324
Jacqueville,CI,5.21,-4.41,28.149999999999977,88,20,9.171454
São Lourenço do Sul,BR,-31.37,-51.98,20.149999999999977,95,49,1.006623
Nabire,ID,-3.37,135.48,29.600000000000023,65,97,5.816044000000001
San Patricio,US,28.02,-97.52,21.149999999999977,22,20,16.105968
Pisco,PE,-13.7,-76.22,18.149999999999977,82,0,11.408394
Wilmington,US,34.23,-77.94,22.149999999999977,88,20,9.171454
Ürümqi,CN,43.8,87.6,1.1499999999999773,80,90,4.47388
Guangyuan,CN,32.44,105.82,17.370000000000005,62,88,1.006623
Jala,MX,21.08,-104.43,18.480000000000018,79,5,4.0041226000000005
Sittwe,MM,20.15,92.9,28.660000000000025,59,3,3.6238428000000007
Labuhan,ID,-6.88,112.21,31.970000000000027,59,16,6.151585000000001
Eureka,US,40.8,-124.16,15.149999999999977,88,71,8.4332638
Jiayuguan City,CN,39.82,98.3,5.939999999999998,50,100,6.598973000000001
Coron,PH,12.0,120.2,30.769999999999982,57,0,4.787051600000001
La Mira,MX,18.04,-102.33,24.600000000000023,83,5,3.7356898000000003
Goma,CD,-1.68,29.22,17.779999999999973,85,100,1.6329662
Kampong Chhnang,KH,12.17,104.55,29.25,73,46,8.3437862
Baghdad,IQ,33.34,44.4,16.149999999999977,59,75,3.35541
Lüderitz,NA,-26.65,15.16,13.870000000000005,80,54,13.757181000000001
San Cristobal,VE,7.77,-72.22,19.24000000000001,92,92,2.9303914000000004
Mahanoro,MG,-19.9,48.8,21.069999999999993,88,98,2.2593094000000002
Tasiilaq,GL,65.61,-37.64,-9.410000000000025,91,100,2.7961750000000003
Novhorodka,UA,48.37,32.66,0.14999999999997726,83,40,4.47388
Olinda,BR,-8.01,-34.86,27.149999999999977,74,75,5.816044000000001
Ngama,TD,11.78,17.17,21.870000000000005,25,85,11.811043200000002
Lavrentiya,RU,65.58,-171.0,0.06999999999999318,96,100,25.4340078
Tiksi,RU,71.69,128.87,-22.349999999999994,89,48,7.1358386000000005
Boyolangu,ID,-8.12,111.89,30.0,69,53,9.6412114
Longyearbyen,SJ,78.22,15.64,-7.850000000000023,67,75,29.974996000000004
Talaya,RU,61.38,152.75,-21.710000000000008,88,100,5.4581336
Bajil,YE,15.06,43.29,25.430000000000007,71,19,2.3711564000000003
Nizhniy Ingash,RU,56.2,96.53,-7.1299999999999955,93,86,3.6685816
Innisfail,AU,-17.53,146.03,31.25999999999999,38,68,7.0016222
Marratxí,ES,39.64,2.75,20.149999999999977,82,0,5.816044000000001
Isangel,VU,-19.55,169.27,29.149999999999977,70,75,9.171454
Norsup,VU,-16.07,167.38,29.149999999999977,70,75,10.289924
Mehamn,NO,71.04,27.85,5.0400000000000205,86,96,12.8847744
Thohoyandou,ZA,-22.95,30.48,18.779999999999973,47,9,3.35541
Kiryat Gat,IL,31.61,34.76,16.25999999999999,100,23,1.9908766000000002
Bom Jesus,BR,-9.07,-44.36,26.149999999999977,60,85,0.782929
Sturgeon Falls,CA,46.36,-79.93,4.0400000000000205,93,90,27.514362000000002
Suslovo,RU,56.22,88.12,-6.75,96,99,5.3239172
Kīhei,US,20.79,-156.47,27.149999999999977,65,1,12.750558000000002
Saint George,US,37.1,-113.58,10.70999999999998,27,1,1.3869028
Severo-Kuril'sk,RU,50.68,156.12,2.509999999999991,87,98,11.274177600000002
Bakaly,RU,55.18,53.8,-12.639999999999986,90,6,3.2659324
Manokwari,ID,-0.87,134.08,27.089999999999975,83,93,9.6412114
Cherepet',RU,54.12,36.38,-1.8500000000000227,100,90,11.184700000000001
Polis,CY,35.04,32.43,13.149999999999977,71,20,4.697574
Newry,GB,54.18,-6.34,7.930000000000007,77,99,9.9991218
Thompson,CA,55.74,-97.86,-20.849999999999994,76,5,5.816044000000001
Micheweni,TZ,-4.97,39.83,26.75999999999999,79,27,8.0306146
Mikuni,JP,36.22,136.15,21.149999999999977,60,40,12.750558000000002
Kavieng,PG,-2.57,150.8,27.329999999999984,82,100,5.5476112
Lázaro Cárdenas,MX,17.96,-102.2,25.470000000000027,82,4,3.1093466
Buta,CD,2.79,24.73,20.230000000000018,97,75,1.677705
Clyde River,CA,70.47,-68.59,-10.850000000000023,56,90,12.750558000000002
Marawi,PH,8.0,124.29,29.04000000000002,74,84,7.0016222
Huangmei,CN,30.19,116.03,18.25999999999999,65,88,4.250186
Kumul,CN,42.8,93.45,6.350000000000023,58,22,9.372778600000002
‘Āhuimanu,US,21.44,-157.84,28.149999999999977,54,75,9.171454
Nioro,GM,13.35,-15.75,22.420000000000016,23,8,2.9303914000000004
Amboasary,MG,-25.03,46.38,20.149999999999977,88,20,21.922012000000002
Cascais,PT,38.7,-9.42,16.819999999999993,100,83,2.1474624
Sembabule,UG,-0.08,31.46,16.470000000000027,96,61,3.4001488
Ust'-Ilimsk,RU,58.0,102.66,-10.360000000000014,94,94,3.131716
Jiazi,CN,22.88,116.07,25.30000000000001,63,0,11.274177600000002
Mar del Plata,AR,-38.0,-57.56,12.370000000000005,87,20,3.5343652000000003
Andapa,MG,-14.65,49.65,20.95999999999998,82,41,1.6105968
Chihuahua,MX,28.5,-106.0,14.589999999999975,26,5,3.3330406000000004
Bien Hoa,VN,10.95,106.82,32.14999999999998,59,20,2.23694
Taoudenni,ML,22.68,-3.98,21.44999999999999,23,15,15.255930800000002
Noshiro,JP,40.2,140.02,14.149999999999977,82,75,10.289924
Camocim,BR,-2.9,-40.84,26.019999999999982,82,28,11.296547
Mill Valley,US,37.91,-122.55,15.70999999999998,86,3,2.9974996000000003
Santa Inês,BR,-3.67,-45.38,24.25999999999999,93,97,2.8185444000000004
Igarka,RU,67.47,86.58,-15.899999999999977,94,100,6.330540200000001
Camalú,MX,30.85,-116.07,18.670000000000016,39,0,2.3040482000000004
Ukiah,US,39.15,-123.21,13.149999999999977,93,90,1.3197946
Manjacaze,MZ,-24.71,33.88,19.689999999999998,84,5,1.11847
Batemans Bay,AU,-35.72,150.18,32.370000000000005,35,95,2.9974996000000003
Alekseyevsk,RU,57.84,108.35,-9.029999999999973,93,98,3.1988242000000002
Wangaratta,AU,-36.37,146.33,27.370000000000005,15,17,13.869028000000002
Iqaluit,CA,63.75,-68.51,-3.8500000000000227,73,75,20.803542000000004
Palmer,US,42.16,-72.33,14.149999999999977,87,75,19.461378
Ponta do Sol,PT,32.67,-17.1,21.149999999999977,100,75,18.342908
Bosaso,SO,11.28,49.18,24.920000000000016,65,11,4.451510600000001
Port-Gentil,GA,-0.72,8.78,26.329999999999984,86,100,10.8715284
Tual,ID,-5.67,132.75,28.829999999999984,75,93,12.9966214
Winnipeg,CA,49.88,-97.15,-7.850000000000023,72,12,1.11847
Chernyshkovskiy,RU,48.42,42.23,-3.3799999999999955,64,100,18.231061
Vallenar,CL,-28.57,-70.76,11.060000000000002,81,0,0.4026492
High Level,CA,58.52,-117.14,-15.850000000000023,91,5,11.408394
Jutaí,BR,-5.18,-68.9,24.399999999999977,89,94,1.11847
Campo de Criptana,ES,39.4,-3.12,10.149999999999977,95,100,1.9908766000000002
Vila Velha,BR,-20.33,-40.29,22.149999999999977,94,0,2.23694
Quepos,CR,9.42,-84.17,21.149999999999977,100,0,2.23694
Laas,IT,46.62,10.7,6.259999999999991,100,90,3.0422384000000005
Belaya Gora,RU,68.53,146.42,-26.50999999999999,89,98,5.8384134
Safford,US,32.83,-109.71,12.149999999999977,18,1,5.816044000000001
Barcelos,PT,41.54,-8.62,13.149999999999977,100,90,3.35541
Oltedal,NO,58.83,6.05,7.930000000000007,93,62,9.864905400000001
Ahipara,NZ,-35.17,173.17,19.360000000000014,73,73,8.522741400000001
Wuzhou,CN,23.48,111.32,29.110000000000014,55,53,2.9974996000000003
Bac Lieu,VN,9.29,105.72,30.04000000000002,70,65,17.559979000000002
Madison,US,34.73,-86.57,10.149999999999977,39,1,9.171454
Broome,US,42.25,-75.83,7.149999999999977,56,90,16.105968
Itaituba,BR,-4.28,-55.98,24.310000000000002,94,91,1.9908766000000002
Tonantins,BR,-2.87,-67.8,24.160000000000025,96,90,1.5434885999999999
Sungai Penuh,ID,-2.08,101.38,27.30000000000001,63,79,1.4540110000000002
Dinājpur,BD,25.63,88.64,25.680000000000007,51,0,8.164831
